x y Bx By
9.900000 0.300000 -0.000006 0.000202
9.900000 0.400000 -0.000008 0.000202
9.900000 0.500000 -0.000010 0.000202
9.900000 0.600000 -0.000012 0.000201
9.900000 0.700000 -0.000014 0.000201
9.900000 0.800000 -0.000016 0.000201
9.900000 0.900000 -0.000018 0.000200
9.900000 1.000000 -0.000020 0.000200
10.000000 -1.000000 0.000020 0.000198
10.000000 -0.900000 0.000018 0.000199
10.000000 -0.800000 0.000016 0.000199
10.000000 -0.700000 0.000014 0.000199
10.000000 -0.600000 0.000012 0.000199
10.000000 -0.500000 0.000010 0.000199
10.000000 -0.400000 0.000008 0.000200
10.000000 -0.300000 0.000006 0.000200
10.000000 -0.200000 0.000003 0.000200
10.000000 -0.100000 0.000002 0.000200
10.000000 -0.000000 -0.000000 0.000200
10.000000 0.100000 -0.000002 0.000200
10.000000 0.200000 -0.000004 0.000200
10.000000 0.300000 -0.000006 0.000200
10.000000 0.400000 -0.000008 0.000200
10.000000 0.500000 -0.000010 0.000199
10.000000 0.600000 -0.000012 0.000199
10.000000 0.700000 -0.000014 0.000199
10.000000 0.800000 -0.000016 0.000199
10.000000 0.900000 -0.000018 0.000198
10.000000 1.000000 -0.000020 0.000198
10.100000 -1.000000 0.000020 0.000196
10.100000 -0.900000 0.000018 0.000197
10.100000 -0.800000 0.000016 0.000197
10.100000 -0.700000 0.000014 0.000197
10.100000 -0.600000 0.000012 0.000197
10.100000 -0.500000 0.000010 0.000197
10.100000 -0.400000 0.000008 0.000198
10.100000 -0.300000 0.000006 0.000198
10.100000 -0.200000 0.000003 0.000198
10.100000 -0.100000 0.000002 0.000198
10.100000 -0.000000 -0.000000 0.000198
10.100000 0.100000 -0.000002 0.000198
10.100000 0.200000 -0.000004 0.000198
10.100000 0.300000 -0.000006 0.000198
10.100000 0.400000 -0.000008 0.000198
10.100000 0.500000 -0.000010 0.000197
10.100000 0.600000 -0.000011 0.000197
10.100000 0.700000 -0.000013 0.000197
10.100000 0.800000 -0.000015 0.000197
10.100000 0.900000 -0.000017 0.000197
10.100000 1.000000 -0.000020 0.000196
10.200000 -1.000000 0.000019 0.000194
10.200000 -0.900000 0.000017 0.000195
10.200000 -0.800000 0.000015 0.000195
10.200000 -0.700000 0.000014 0.000195
10.200000 -0.600000 0.000012 0.000195
10.200000 -0.500000 0.000010 0.000195
10.200000 -0.400000 0.000008 0.000196
10.200000 -0.300000 0.000006 0.000196
10.200000 -0.200000 0.000004 0.000196
10.200000 -0.100000 0.000002 0.000196
10.200000 -0.000000 -0.000000 0.000196
10.200000 0.100000 -0.000002 0.000196
10.200000 0.200000 -0.000004 0.000196
10.200000 0.300000 -0.000005 0.000196
10.200000 0.400000 -0.000007 0.000196
10.200000 0.500000 -0.000009 0.000196
10.200000 0.600000 -0.000011 0.000196
10.200000 0.700000 -0.000013 0.000195
10.200000 0.800000 -0.000015 0.000195
10.200000 0.900000 -0.000017 0.000195
10.200000 1.000000 -0.000019 0.000194
10.300000 -1.000000 0.000019 0.000192
10.300000 -0.900000 0.000017 0.000193
10.300000 -0.800000 0.000015 0.000193
10.300000 -0.700000 0.000013 0.000193
10.300000 -0.600000 0.000011 0.000193
10.300000 -0.500000 0.000009 0.000193
10.300000 -0.400000 0.000007 0.000194
10.300000 -0.300000 0.000005 0.000194
10.300000 -0.200000 0.000004 0.000194
10.300000 -0.100000 0.000002 0.000194
10.300000 -0.000000 0.000000 0.000194
10.300000 0.100000 -0.000002 0.000194
10.300000 0.200000 -0.000004 0.000194
10.300000 0.300000 -0.000006 0.000194
10.300000 0.400000 -0.000007 0.000194
10.300000 0.500000 -0.000009 0.000194
10.300000 0.600000 -0.000011 0.000194
10.300000 0.700000 -0.000013 0.000194
10.300000 0.800000 -0.000015 0.000193
10.300000 0.900000 -0.000017 0.000193
10.300000 1.000000 -0.000019 0.000193
10.400000 -1.000000 0.000019 0.000190
10.400000 -0.900000 0.000017 0.000191
10.400000 -0.800000 0.000015 0.000191
10.400000 -0.700000 0.000013 0.000191
10.400000 -0.600000 0.000011 0.000191
10.400000 -0.500000 0.000009 0.000192
10.400000 -0.400000 0.000007 0.000192
10.400000 -0.300000 0.000005 0.000192
10.400000 -0.200000 0.000003 0.000192
10.400000 -0.100000 0.000002 0.000192
10.400000 -0.000000 0.000000 0.000192
10.400000 0.100000 -0.000002 0.000192
10.400000 0.200000 -0.000004 0.000192
10.400000 0.300000 -0.000006 0.000192
10.400000 0.400000 -0.000007 0.000192
10.400000 0.500000 -0.000009 0.000192
10.400000 0.600000 -0.000011 0.000192
10.400000 0.700000 -0.000013 0.000192
10.400000 0.800000 -0.000015 0.000191
10.400000 0.900000 -0.000017 0.000191
10.400000 1.000000 -0.000019 0.000191
10.500000 -1.000000 0.000018 0.000188
10.500000 -0.900000 0.000016 0.000189
10.500000 -0.800000 0.000015 0.000189
10.500000 -0.700000 0.000013 0.000189
10.500000 -0.600000 0.000011 0.000190
10.500000 -0.500000 0.000009 0.000190
10.500000 -0.400000 0.000007 0.000190
10.500000 -0.300000 0.000005 0.000190
10.500000 -0.200000 0.000003 0.000190
10.500000 -0.100000 0.000002 0.000190
10.500000 -0.000000 0.000000 0.000190
10.500000 0.100000 -0.000002 0.000190
10.500000 0.200000 -0.000004 0.000190
10.500000 0.300000 -0.000006 0.000190
10.500000 0.400000 -0.000008 0.000190
10.500000 0.500000 -0.000009 0.000190
10.500000 0.600000 -0.000011 0.000190
10.500000 0.700000 -0.000012 0.000189
10.500000 0.800000 -0.000014 0.000189
10.500000 0.900000 -0.000016 0.000189
10.500000 1.000000 -0.000019 0.000189
10.600000 -1.000000 0.000018 0.000187
10.600000 -0.900000 0.000016 0.000187
10.600000 -0.800000 0.000014 0.000187
