i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
120,3.032605e+01,1.970158,-0.333063,7.746454,-3.381716e+03,5.716932e+02,-1.329655e+04,1.006086e+00
121,3.117606e+01,0.689484,-5.617458,5.654094,-1.199949e+03,9.776389e+03,-9.840149e+03,1.006086e+00
122,3.117606e+01,0.679332,-5.629297,-5.643539,-1.182281e+03,9.796992e+03,9.821779e+03,1.006086e+00
123,3.126892e+01,-0.379665,-0.829249,7.947842,6.617373e+02,1.445338e+03,-1.385268e+04,1.006086e+00
124,3.126892e+01,1.256900,6.985722,-3.690514,-2.190712e+03,-1.217575e+04,6.432375e+03,1.006086e+00
125,3.141368e+01,-3.704815,3.873121,5.939132,6.472230e+03,-6.766257e+03,-1.037553e+04,1.006086e+00
126,3.141368e+01,1.939804,3.324092,7.013385,-3.388795e+03,-5.807116e+03,-1.225223e+04,1.006086e+00
127,3.150689e+01,-0.668273,-1.082773,-7.898165,1.169189e+03,1.894385e+03,1.381838e+04,1.006086e+00
128,3.150689e+01,-0.326553,-0.310716,7.987291,5.713263e+02,5.436187e+02,-1.397431e+04,1.006086e+00
129,3.165220e+01,-0.236139,-1.322175,7.886450,4.140933e+02,2.318563e+03,-1.382966e+04,1.006086e+00
130,3.165220e+01,-1.619242,-0.196034,7.831962,2.839499e+03,3.437655e+02,-1.373411e+04,1.006086e+00
131,3.174577e+01,6.803295,-0.982203,4.092733,-1.194786e+04,1.724933e+03,-7.187607e+03,1.006086e+00
132,3.174577e+01,-0.173309,-4.098469,6.868225,3.043624e+02,7.197682e+03,-1.206189e+04,1.006086e+00
133,3.189162e+01,5.337228,-2.123817,5.568070,-9.394682e+03,3.738380e+03,-9.801014e+03,1.006086e+00
134,3.189162e+01,2.746156,2.706712,7.009446,-4.833831e+03,-4.764403e+03,-1.233815e+04,1.006086e+00
135,3.223258e+01,5.784728,4.497865,3.210316,-1.023667e+04,-7.959432e+03,-5.680981e+03,1.006086e+00
136,3.223258e+01,-3.623317,6.871674,-1.910933,6.411830e+03,-1.216013e+04,3.381590e+03,1.006086e+00
137,3.237955e+01,0.335329,-6.466532,-4.698034,-5.947502e+02,1.146925e+04,8.332581e+03,1.006086e+00
138,3.237955e+01,6.667964,-2.873476,3.358778,-1.182651e+04,5.096488e+03,-5.957236e+03,1.006086e+00
139,3.247419e+01,-5.267370,1.527715,5.824165,9.356018e+03,-2.713560e+03,-1.034501e+04,1.006086e+00
140,3.247419e+01,-5.566107,2.988485,4.907893,9.886641e+03,-5.308212e+03,-8.717506e+03,1.006086e+00
141,3.262170e+01,1.670856,7.793192,-0.688766,-2.974544e+03,-1.387384e+04,1.226176e+03,1.006086e+00
142,3.262170e+01,4.123892,-4.758839,-4.934265,-7.341565e+03,8.471930e+03,8.784233e+03,1.006086e+00
143,3.271670e+01,-5.880614,5.329272,1.008581,1.048420e+04,-9.501248e+03,-1.798140e+03,1.006086e+00
144,3.271670e+01,0.022812,-0.077874,7.999588,-4.066983e+01,1.388376e+02,-1.426200e+04,1.006086e+00
145,3.286476e+01,-2.262729,-3.809050,6.661171,4.043206e+03,6.806282e+03,-1.190265e+04,1.006086e+00
146,3.286476e+01,0.898578,1.006916,-7.885346,-1.605643e+03,-1.799229e+03,1.409010e+04,1.006086e+00
147,3.335358e+01,-5.581992,-4.386361,3.687981,1.004820e+04,7.895937e+03,-6.638774e+03,1.006086e+00
148,3.335358e+01,-3.970780,-0.241261,-6.940799,7.147845e+03,4.342962e+02,1.249421e+04,1.006086e+00
149,3.359934e+01,-3.505684,6.430856,-3.217805,6.333827e+03,-1.161882e+04,5.813708e+03,1.006086e+00
150,3.359934e+01,5.165588,1.375553,-5.951853,-9.332826e+03,-2.485254e+03,1.075340e+04,1.006086e+00
151,3.409357e+01,-5.071835,-0.618175,6.155839,9.230588e+03,1.125060e+03,-1.120344e+04,1.006086e+00
152,3.409357e+01,5.404407,3.381950,-4.832680,-9.835860e+03,-6.155049e+03,8.795334e+03,1.006086e+00
153,3.459141e+01,-0.548850,7.402680,2.983136,1.006157e+03,-1.357066e+04,-5.468714e+03,1.006086e+00
154,3.459141e+01,0.868495,7.915798,0.765414,-1.592134e+03,-1.451132e+04,-1.403164e+03,1.006086e+00
155,3.474365e+01,0.850194,-0.122427,7.953753,-1.562011e+03,2.249279e+02,-1.461295e+04,1.006086e+00
156,3.474365e+01,7.520041,1.514936,-2.270232,-1.381612e+04,-2.783300e+03,4.170960e+03,1.006086e+00
157,3.509949e+01,-3.810239,6.974450,-0.916042,7.036079e+03,-1.287919e+04,1.691585e+03,1.006086e+00
158,3.509949e+01,-0.682417,0.472718,-7.956811,1.260168e+03,-8.729332e+02,1.469324e+04,1.006086e+00
159,3.535159e+01,2.420279,-2.659374,7.146326,-4.485366e+03,4.928468e+03,-1.324389e+04,1.006086e+00
160,3.535159e+01,-1.086357,-1.305200,-7.817690,2.013284e+03,2.418854e+03,1.448809e+04,1.006086e+00
161,3.550550e+01,3.112701,-7.142885,-1.813914,-5.781137e+03,1.326629e+04,3.368935e+03,1.006086e+00
162,3.550550e+01,3.532770,-1.265604,7.065252,-6.561321e+03,2.350572e+03,-1.312210e+04,1.006086e+00
163,3.560460e+01,-1.325689,1.987725,7.634887,2.465600e+03,-3.696897e+03,-1.419985e+04,1.006086e+00
164,3.560460e+01,3.442712,0.487875,-7.204840,-6.402974e+03,-9.073807e+02,1.340002e+04,1.006086e+00
165,3.575905e+01,-2.965848,-5.778083,-4.670921,5.528023e+03,1.076973e+04,8.706099e+03,1.006086e+00
166,3.575905e+01,2.524196,6.615119,3.724062,-4.704832e+03,-1.232988e+04,-6.941254e+03,1.006086e+00
167,3.636902e+01,3.253195,3.968374,6.137486,-6.115105e+03,-7.459444e+03,-1.153677e+04,1.006086e+00
168,3.636902e+01,-0.566991,-0.340221,7.972626,1.065787e+03,6.395209e+02,-1.498633e+04,1.006086e+00
169,3.652512e+01,0.149098,-1.918530,7.765115,-2.808642e+02,3.614036e+03,-1.462756e+04,1.006086e+00
170,3.652512e+01,6.969729,-3.523550,1.734205,-1.312925e+04,6.637497e+03,-3.266813e+03,1.006086e+00
171,3.662563e+01,3.711637,-6.627020,-2.511247,-7.001419e+03,1.250083e+04,4.737073e+03,1.006086e+00
172,3.662563e+01,-3.856612,-0.470881,6.993198,7.274892e+03,8.882426e+02,-1.319157e+04,1.006086e+00
173,3.678228e+01,-7.107808,-3.585696,-0.788571,1.343641e+04,6.778301e+03,1.490694e+03,1.006086e+00
174,3.678228e+01,-3.936734,-6.856639,-1.220096,7.441893e+03,1.296160e+04,2.306436e+03,1.006086e+00
175,3.688314e+01,-3.844038,-6.785346,-1.783942,7.276619e+03,1.284441e+04,3.376935e+03,1.006086e+00
176,3.688314e+01,-7.462068,2.883449,-0.057170,1.412541e+04,-5.458261e+03,1.082201e+02,1.006086e+00
177,3.755917e+01,7.823438,1.576964,-0.554071,-1.494458e+04,-3.012367e+03,1.058405e+03,1.006086e+00
178,3.755917e+01,2.579255,0.577544,7.550754,-4.926975e+03,-1.103244e+03,-1.442369e+04,1.006086e+00
179,3.781994e+01,-7.122436,-2.405076,-2.736148,1.365265e+04,4.610174e+03,5.244790e+03,1.006086e+00
180,3.781994e+01,1.102864,-7.916546,0.334641,-2.114027e+03,1.517484e+04,-6.414581e+02,1.006086e+00
181,3.808853e+01,-2.613075,-7.553984,0.330414,5.026631e+03,1.453119e+04,-6.355991e+02,1.006086e+00
182,3.808853e+01,-1.502766,-5.922363,5.164040,2.890790e+03,1.139253e+04,-9.933784e+03,1.006086e+00
183,3.851142e+01,-1.497277,7.821302,-0.765115,2.896176e+03,-1.512871e+04,1.479959e+03,1.006086e+00
184,3.851142e+01,0.698623,7.595753,-2.411734,-1.351343e+03,-1.469243e+04,4.665006e+03,1.006086e+00
185,3.861463e+01,3.737721,-2.047118,-6.770432,-7.239538e+03,3.965034e+03,1.311355e+04,1.006086e+00
186,3.861463e+01,0.307098,2.464520,-7.604724,-5.948145e+02,-4.773493e+03,1.472948e+04,1.006086e+00
187,3.887903e+01,-0.927665,-1.302713,-7.838519,1.802923e+03,2.531830e+03,1.523420e+04,1.006086e+00
188,3.887903e+01,0.752094,-0.923614,-7.910834,-1.461699e+03,1.795050e+03,1.537475e+04,1.006086e+00
189,3.904042e+01,4.608779,4.491541,-4.752390,-8.975759e+03,-8.747434e+03,9.255446e+03,1.006086e+00
190,3.904042e+01,1.924504,1.546566,7.609495,-3.748040e+03,-3.011991e+03,-1.481976e+04,1.006086e+00
191,3.914433e+01,-3.090432,4.573565,-5.790659,6.026730e+03,-8.919023e+03,1.129251e+04,1.006086e+00
192,3.914433e+01,-3.785099,6.808027,-1.823126,7.381417e+03,-1.327650e+04,3.555324e+03,1.006086e+00
193,3.941053e+01,0.189435,0.615520,-7.974036,-3.706757e+02,-1.204415e+03,1.560315e+04,1.006086e+00
194,3.941053e+01,-4.595798,0.235815,-6.543931,8.992804e+03,-4.614304e+02,1.280480e+04,1.006086e+00
195,3.967764e+01,1.945146,3.047247,7.136574,-3.819032e+03,-5.982858e+03,-1.401170e+04,1.006086e+00
196,3.967764e+01,-5.687188,5.299866,1.888731,1.116603e+04,-1.040557e+04,-3.708268e+03,1.006086e+00
197,3.984068e+01,-0.873270,-1.222746,7.857626,1.718066e+03,2.405624e+03,-1.545905e+04,1.006086e+00
198,3.984068e+01,1.955079,-1.464903,-7.617856,-3.846412e+03,2.882043e+03,1.498733e+04,1.006086e+00
199,3.994565e+01,0.376154,0.692406,7.961098,-7.410185e+02,-1.364028e+03,-1.568324e+04,1.006086e+00
200,3.994565e+01,-6.059473,-0.851309,5.153452,1.193707e+04,1.677066e+03,-1.015222e+04,1.006086e+00
201,4.010924e+01,-3.809684,-2.313621,-6.643303,7.520369e+03,4.567120e+03,1.311397e+04,1.006086e+00
202,4.010924e+01,7.203019,-2.858607,-1.986172,-1.421886e+04,5.642931e+03,3.920732e+03,1.006086e+00
203,4.075509e+01,3.286179,-3.055602,6.623015,-6.538983e+03,6.080170e+03,-1.317877e+04,1.006086e+00
204,4.075509e+01,-0.352280,-1.780937,7.791288,7.009817e+02,3.543787e+03,-1.550345e+04,1.006086e+00
205,4.103389e+01,1.615382,-1.535002,7.683379,-3.225334e+03,3.064844e+03,-1.534093e+04,1.006086e+00
206,4.103389e+01,-5.913534,3.407758,-4.173404,1.180719e+04,-6.804060e+03,8.332779e+03,1.006086e+00
207,4.130643e+01,2.046017,-4.891914,-5.990241,-4.098701e+03,9.799767e+03,1.200000e+04,1.006086e+00
208,4.130643e+01,6.362149,-4.838131,0.339926,-1.274503e+04,9.692024e+03,-6.809595e+02,1.006086e+00
209,4.174678e+01,-4.775571,4.628750,-4.446190,9.617558e+03,-9.321874e+03,8.954215e+03,1.006086e+00
210,4.174678e+01,7.068539,3.704118,0.561486,-1.423538e+04,-7.459751e+03,-1.130782e+03,1.006086e+00
211,4.202167e+01,0.045545,0.603886,-7.977045,-9.202423e+01,-1.220169e+03,1.611784e+04,1.006086e+00
212,4.202167e+01,-3.043305,-6.595860,3.351557,6.149080e+03,1.332711e+04,-6.771912e+03,1.006086e+00
213,4.218946e+01,0.502892,-1.760744,7.787611,-1.018134e+03,3.564727e+03,-1.576646e+04,1.006086e+00
214,4.218946e+01,-7.958959,0.809253,0.008612,1.611337e+04,-1.638378e+03,-1.743592e+01,1.006086e+00
215,4.229747e+01,3.235410,-1.452446,7.170950,-6.558652e+03,2.944322e+03,-1.453657e+04,1.006086e+00
216,4.229747e+01,6.713295,3.708374,2.275879,-1.360884e+04,-7.517420e+03,-4.613541e+03,1.006086e+00
217,4.257418e+01,4.538790,-1.069774,6.500382,-9.230840e+03,2.175671e+03,-1.322026e+04,1.006086e+00
218,4.257418e+01,2.573490,7.336695,-1.884157,-5.233879e+03,-1.492113e+04,3.831936e+03,1.006086e+00
219,4.330026e+01,-6.288199,-3.754896,3.218589,1.289732e+04,7.701428e+03,-6.601442e+03,1.006086e+00
220,4.330026e+01,-2.914532,-2.121245,7.141836,5.977811e+03,4.350751e+03,-1.464816e+04,1.006086e+00
221,4.340969e+01,7.626264,-0.220451,2.406555,-1.566150e+04,4.527246e+02,-4.942164e+03,1.006086e+00
222,4.340969e+01,3.124006,-6.690369,3.078888,-6.415540e+03,1.373952e+04,-6.322885e+03,1.006086e+00
223,4.386108e+01,-7.109834,0.908231,-3.553221,1.467666e+04,-1.874838e+03,7.334828e+03,1.006086e+00
224,4.386108e+01,2.187449,-6.873847,3.459088,-4.515498e+03,1.418952e+04,-7.140512e+03,1.006086e+00
225,4.397122e+01,-1.777196,3.035171,7.185354,3.673226e+03,-6.273291e+03,-1.485116e+04,1.006086e+00
226,4.397122e+01,-3.334252,-5.791020,4.398506,6.891451e+03,1.196926e+04,-9.091122e+03,1.006086e+00
227,4.425333e+01,-1.576694,-1.179938,-7.753824,3.269252e+03,2.446584e+03,1.607744e+04,1.006086e+00
228,4.425333e+01,-5.870558,-0.611979,5.400188,1.217252e+04,1.268930e+03,-1.119721e+04,1.006086e+00
229,4.454382e+01,3.660068,-6.310564,-3.283395,-7.613967e+03,1.312774e+04,6.830381e+03,1.006086e+00
230,4.454382e+01,-3.632833,0.980451,7.059833,7.557310e+03,-2.039613e+03,-1.468643e+04,1.006086e+00
