i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
142,3.299712e+01,4.123892,-4.758839,-4.934265,-4.833758e+03,5.578002e+03,5.783625e+03,1.006086e+00
143,3.337088e+01,-5.880614,5.329272,1.008581,6.931803e+03,-6.281906e+03,-1.188870e+03,1.006086e+00
144,3.337088e+01,0.022812,-0.077874,7.999588,-2.688952e+01,9.179475e+01,-9.429554e+03,1.006086e+00
145,3.337088e+01,-2.262729,-3.809050,6.661171,2.667203e+03,4.489937e+03,-7.851888e+03,1.006086e+00
146,3.359944e+01,0.898578,1.006916,-7.885346,-1.062824e+03,-1.190965e+03,9.326666e+03,1.006086e+00
147,3.359944e+01,-5.581992,-4.386361,3.687981,6.602294e+03,5.188121e+03,-4.362087e+03,1.006086e+00
148,3.359944e+01,-3.970780,-0.241261,-6.940799,4.696578e+03,2.853596e+02,8.209471e+03,1.006086e+00
149,3.412473e+01,-3.505684,6.430856,-3.217805,4.178756e+03,-7.665545e+03,3.835606e+03,1.006086e+00
150,3.412473e+01,5.165588,1.375553,-5.951853,-6.157352e+03,-1.639652e+03,7.094576e+03,1.006086e+00
151,3.412473e+01,-5.071835,-0.618175,6.155839,6.045599e+03,7.368613e+02,-7.337726e+03,1.006086e+00
152,3.435584e+01,5.404407,3.381950,-4.832680,-6.463802e+03,-4.044894e+03,5.780002e+03,1.006086e+00
153,3.435584e+01,-0.548850,7.402680,2.983136,6.564375e+02,-8.853784e+03,-3.567903e+03,1.006086e+00
154,3.435584e+01,0.868495,7.915798,0.765414,-1.038741e+03,-9.467486e+03,-9.154535e+02,1.006086e+00
155,3.450480e+01,0.850194,-0.122427,7.953753,-1.019055e+03,1.467429e+02,-9.533482e+03,1.006086e+00
156,3.450480e+01,7.520041,1.514936,-2.270232,-9.013629e+03,-1.815824e+03,2.721132e+03,1.006086e+00
157,3.450480e+01,-3.810239,6.974450,-0.916042,4.567007e+03,-8.359675e+03,1.097981e+03,1.006086e+00
158,3.489710e+01,-0.682417,0.472718,-7.956811,8.225914e+02,-5.698189e+02,9.591209e+03,1.006086e+00
159,3.489710e+01,2.420279,-2.659374,7.146326,-2.917425e+03,3.205632e+03,-8.614244e+03,1.006086e+00
160,3.489710e+01,-1.086357,-1.305200,-7.817690,1.309504e+03,1.573300e+03,9.423512e+03,1.006086e+00
161,3.528144e+01,3.112701,-7.142885,-1.813914,-3.772682e+03,8.657380e+03,2.198516e+03,1.006086e+00
162,3.528144e+01,3.532770,-1.265604,7.065252,-4.281818e+03,1.533948e+03,-8.563286e+03,1.006086e+00
163,3.528144e+01,-1.325689,1.987725,7.634887,1.606772e+03,-2.409179e+03,-9.253700e+03,1.006086e+00
164,3.551644e+01,3.442712,0.487875,-7.204840,-4.186538e+03,-5.932842e+02,8.761504e+03,1.006086e+00
165,3.551644e+01,-2.965848,-5.778083,-4.670921,3.606643e+03,7.026485e+03,5.680112e+03,1.006086e+00
166,3.551644e+01,2.524196,6.615119,3.724062,-3.069569e+03,-8.044369e+03,-4.528676e+03,1.006086e+00
167,3.605644e+01,3.253195,3.968374,6.137486,-3.986036e+03,-4.862322e+03,-7.520065e+03,1.006086e+00
168,3.605644e+01,-0.566991,-0.340221,7.972626,6.947165e+02,4.168617e+02,-9.768604e+03,1.006086e+00
169,3.605644e+01,0.149098,-1.918530,7.765115,-1.826853e+02,2.350714e+03,-9.514347e+03,1.006086e+00
170,3.629400e+01,6.969729,-3.523550,1.734205,-8.567873e+03,4.331492e+03,-2.131854e+03,1.006086e+00
171,3.629400e+01,3.711637,-6.627020,-2.511247,-4.562706e+03,8.146581e+03,3.087070e+03,1.006086e+00
172,3.629400e+01,-3.856612,-0.470881,6.993198,4.740924e+03,5.788527e+02,-8.596722e+03,1.006086e+00
173,3.668594e+01,-7.107808,-3.585696,-0.788571,8.784665e+03,4.431624e+03,9.746093e+02,1.006086e+00
174,3.668594e+01,-3.936734,-6.856639,-1.220096,4.865478e+03,8.474240e+03,1.507938e+03,1.006086e+00
175,3.668594e+01,-3.844038,-6.785346,-1.783942,4.750914e+03,8.386129e+03,2.204805e+03,1.006086e+00
176,3.811785e+01,-7.462068,2.883449,-0.057170,9.400762e+03,-3.632588e+03,7.202273e+01,1.006086e+00
177,3.811785e+01,7.823438,1.576964,-0.554071,-9.856019e+03,-1.986670e+03,6.980228e+02,1.006086e+00
178,3.811785e+01,2.579255,0.577544,7.550754,-3.249363e+03,-7.275943e+02,-9.512490e+03,1.006086e+00
179,3.851949e+01,-7.122436,-2.405076,-2.736148,9.020041e+03,3.045852e+03,3.465130e+03,1.006086e+00
180,3.851949e+01,1.102864,-7.916546,0.334641,-1.396697e+03,1.002572e+04,-4.237988e+02,1.006086e+00
181,3.851949e+01,-2.613075,-7.553984,0.330414,3.309267e+03,9.566564e+03,-4.184447e+02,1.006086e+00
182,3.867722e+01,-1.502766,-5.922363,5.164040,1.907035e+03,7.515577e+03,-6.553251e+03,1.006086e+00
183,3.867722e+01,-1.497277,7.821302,-0.765115,1.900069e+03,-9.925361e+03,9.709439e+02,1.006086e+00
184,3.867722e+01,0.698623,7.595753,-2.411734,-8.865640e+02,-9.639136e+03,3.060530e+03,1.006086e+00
185,3.908178e+01,3.737721,-2.047118,-6.770432,-4.767972e+03,2.611378e+03,8.636609e+03,1.006086e+00
186,3.908178e+01,0.307098,2.464520,-7.604724,-3.917459e+02,-3.143831e+03,9.700862e+03,1.006086e+00
187,3.908178e+01,-0.927665,-1.302713,-7.838519,1.183364e+03,1.661788e+03,9.999099e+03,1.006086e+00
188,3.932909e+01,0.752094,-0.923614,-7.910834,-9.624292e+02,1.181918e+03,1.012322e+04,1.006086e+00
189,3.932909e+01,4.608779,4.491541,-4.752390,-5.897698e+03,-5.747673e+03,6.081472e+03,1.006086e+00
190,3.932909e+01,1.924504,1.546566,7.609495,-2.462723e+03,-1.979087e+03,-9.737612e+03,1.006086e+00
191,3.973705e+01,-3.090432,4.573565,-5.790659,3.975179e+03,-5.882911e+03,7.448443e+03,1.006086e+00
192,3.973705e+01,-3.785099,6.808027,-1.823126,4.868719e+03,-8.757068e+03,2.345061e+03,1.006086e+00
193,3.973705e+01,0.189435,0.615520,-7.974036,-2.436674e+02,-7.917340e+02,1.025689e+04,1.006086e+00
194,4.057017e+01,-4.595798,0.235815,-6.543931,5.973158e+03,-3.064891e+02,8.505147e+03,1.006086e+00
195,4.057017e+01,1.945146,3.047247,7.136574,-2.528107e+03,-3.960507e+03,-9.275405e+03,1.006086e+00
196,4.057017e+01,-5.687188,5.299866,1.888731,7.391638e+03,-6.888236e+03,-2.454784e+03,1.006086e+00
197,4.073204e+01,-0.873270,-1.222746,7.857626,1.137251e+03,1.592370e+03,-1.023291e+04,1.006086e+00
198,4.073204e+01,1.955079,-1.464903,-7.617856,-2.546080e+03,1.907729e+03,9.920657e+03,1.006086e+00
199,4.073204e+01,0.376154,0.692406,7.961098,-4.898622e+02,-9.017128e+02,-1.036766e+04,1.006086e+00
200,4.140093e+01,-6.059473,-0.851309,5.153452,7.955721e+03,1.117718e+03,-6.766170e+03,1.006086e+00
