i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
111,2.712553e+01,3.203255,3.104439,6.640905,-9.006774e+03,-8.728928e+03,-1.867261e+04,1.006086e+00
112,2.751005e+01,-2.323846,-2.026162,7.382033,6.580239e+03,5.737314e+03,-2.090308e+04,1.006086e+00
113,2.751005e+01,3.734379,-1.109701,-6.987344,-1.057433e+04,3.142247e+03,1.978548e+04,1.006086e+00
114,2.763883e+01,-0.440126,7.762579,1.883789,1.249183e+03,-2.203203e+04,-5.346638e+03,1.006086e+00
115,2.776791e+01,4.378848,-3.269945,-5.842358,-1.245719e+04,9.302522e+03,1.662067e+04,1.006086e+00
116,2.849744e+01,-6.627478,2.068489,-3.974655,1.910029e+04,-5.961352e+03,1.145490e+04,1.006086e+00
117,2.855215e+01,1.988965,7.659000,-1.176326,-5.737664e+03,-2.209429e+04,3.393405e+03,1.006086e+00
118,2.876334e+01,3.506436,6.987178,1.698310,-1.015253e+04,-2.023067e+04,-4.917283e+03,1.006086e+00
119,2.876334e+01,-1.508694,-3.636781,-6.964027,4.368270e+03,1.052993e+04,2.016363e+04,1.006086e+00
120,3.009717e+01,1.970158,-0.333063,7.746454,-5.835158e+03,9.864578e+02,-2.294322e+04,1.006086e+00
121,3.009717e+01,0.689484,-5.617458,5.654094,-2.042094e+03,1.663762e+04,-1.674613e+04,1.006086e+00
122,3.031400e+01,0.679332,-5.629297,-5.643539,-2.019260e+03,1.673264e+04,1.677497e+04,1.006086e+00
123,3.036685e+01,-0.379665,-0.829249,7.947842,1.129509e+03,2.467025e+03,-2.364492e+04,1.006086e+00
124,3.085649e+01,1.256900,6.985722,-3.690514,-3.769318e+03,-2.094948e+04,1.106748e+04,1.006086e+00
125,3.090982e+01,-3.704815,3.873121,5.939132,1.111996e+04,-1.162513e+04,-1.782624e+04,1.006086e+00
126,3.090982e+01,1.939804,3.324092,7.013385,-5.822303e+03,-9.977229e+03,-2.105060e+04,1.006086e+00
127,3.112954e+01,-0.668273,-1.082773,-7.898165,2.012932e+03,3.261462e+03,2.379037e+04,1.006086e+00
128,3.112954e+01,-0.326553,-0.310716,7.987291,9.836224e+02,9.359197e+02,-2.405883e+04,1.006086e+00
129,3.126652e+01,-0.236139,-1.322175,7.886450,7.128477e+02,3.991327e+03,-2.380729e+04,1.006086e+00
130,3.167926e+01,-1.619242,-0.196034,7.831962,4.920259e+03,5.956739e+02,-2.379834e+04,1.006086e+00
131,3.182109e+01,6.803295,-0.982203,4.092733,-2.071884e+04,2.991214e+03,-1.246406e+04,1.006086e+00
132,3.195958e+01,-0.173309,-4.098469,6.868225,5.289434e+02,1.250866e+04,-2.096205e+04,1.006086e+00
133,3.223746e+01,5.337228,-2.123817,5.568070,-1.636006e+04,6.510078e+03,-1.706765e+04,1.006086e+00
134,3.237685e+01,2.746156,2.706712,7.009446,-8.435894e+03,-8.314728e+03,-2.153226e+04,1.006086e+00
135,3.246185e+01,5.784728,4.497865,3.210316,-1.779337e+04,-1.383508e+04,-9.874680e+03,1.006086e+00
